note,lang
red fruit and chocolate,en
"It is sweet and syrupy, with notes of red fruit and chocolate",en
It's definitely not your regular decaf!,en
"orange, stone fruit, malt, a soft acidity, and a long aftertaste",en
"Like it loud? Want to see how far this goes? Fruit bombs, tropical flavors, & complexity are your thing",en
"This lot is 100% Papayo , a very rare variety whose origins remain steeped in mystery but is renowned for its sweet and floral profile",en
"These factors slow down cherry maturation, resulting in a super sweet cup profile",en
It's definitely not your regular decaf!,en
"orange, stone fruit, malt, a soft acidity, and a long aftertaste",en
This coffee is sweet and balanced with heaps of sugar-browning and soft fruit notes,en
"Many believe that this final soaking phase is what helps to amplify the bright, juicy acidity of Kenyan coffee s",en
the first time we tasted Javier’s coffee all those years ago,en
pricot.,en
juicy peach and a pricot,en
caramel and orange,en
"This coffee is approachable and sweet, with notes of caramel and orange",en
vanilla,en
coffees from the early days of our relationship – a call-back,en
vanilla and juicy stone fruit,en
"Sweet and approachable, with notes of vanilla and juicy stone fruit",en
initial,en
"and a creamy mouthfeel,",en
"This traditionally processed Washed Geisha is super floral, with lots of vibrant citrus",en
.,en
maintaining,en
some of those funky tropical notes that we love from Graciano’s coffees.,en
"a classic Washed Panamanian Geisha, packed with floral and citrus notes – but also some of those funky tropical notes that we love from Graciano’s cof",en
"Yellow Honey typically falls in the middle; more mucilage than a white honey, but less t han a red or black honey",en
chocolate and nougat,en
berry and chocolate,en
"This coffee is juicy, sweet, and fruit forward – with notes of berry and chocolate",en
"The cup profile of Caturrón is a kaleidoscope of fruits like pineapple, raspberry, strawberry, and watermelon",en
It's,en
"orange, stone fruit, malt, a soft acidity, and a long aftertaste",en
"Similar to SL-28, San Roque has a bright fruit acidity, with a complexity similar to cola",en
"These factors slow down cherry maturation, resulting in a super sweet cup profile",en
black tea and hibiscus,en
stone fruit and vanilla,en
"Using the traditional washed process, this coffee is sweet and approachable, with soft notes of stone fruit and vanilla",en
citrus and stone fruit,en
red fruit and chocolate,en
"It is sweet and syrupy, with notes of red fruit and chocolate",en
"This traditionally processed natural Bourbon is loud and juicy, with complex red and purple fruit notes",en
"This washed Bourbon is clean, sweet, and approachable—a wonderful example of Salvadoran coffee",en
"This lot was processed via the washed method, highlighting the variety’s floral and citrus notes",en
Agaro,en
"This coffee is naturally processed at Finca Miravalle, it has a thick syrupy body, with plenty of juicy fruit notes",en
citrus and stone fruit,en
"This coffee is sweet and approachable, with gentle notes of citrus and stone fruit",en
"milk chocolate, caramel, and vanilla",en
"It’s clean, sweet, and approachable, with notes of milk chocolate, caramel, and vanilla",en
"Waykan – Huehuetenango offers a shining example of the dynamic Huehuetenango flavor profile, with juicy crisp acidity, with chocolate and brown sugar sweetness",en
"milk chocolate, caramel, and vanilla",en
"Colombia has long been known for growing exceptional coffees and produces a staggering diversity of flavor profiles – everything from sweet, fruit forward and floral to rich, s y rupy chocolate",en
"This coffee is juicy and sweet, with plenty of apple and stone fruit flavors",en
Fragrance and aroma of cherry and bergamot orange,en
stone fruit,en
juicy,en
juicy peach and apple,en
coffees from the early days of our relationship – a call-back,en
brown sugar and juicy stone fruit,en
"Sweet and approachable, with notes of brown sugar and juicy stone fruit",en
and is,en
the first time we tasted Javier’s coffee all those years ago,en
"Similar to SL-28, San Roque has a bright fruit acidity, with a complexity similar to cola",en
"This is a classic washed Panamanian Geisha, with vibrant jasmine floral notes, juicy citrus, and a honey sweetness",en
purple fruit and vanilla,en
honey and cascara (dried coffee cherry),en
"This geisha is sweet and creamy, with notes of honey and cascara (dried coffee cherry)",en
"orange, stone fruit, and malt",en
one of our Holiday favorites - Christmas Cake,en
a classic Yirgacheffe,en
a beach near Rowena's upbringing in New Zealand,en
a beach near Rowena's upbringing in New Zealand,en
blackcurrant and plum,en
"Processed using the Natural method, this coffee is big and fruity, with notes of blackcurrant and plum",en
citrus and stone fruit,en
"This coffee is juicy and sweet, with notes of citrus and stone fruit",en
"cherry, blackcurrant, and tropical fruit",en
"This coffee is loud and fruity, with notes of cherry, blackcurrant, and tropical fruit",en
", processed",en
blackcurrant and tropical fruit,en
"This coffee is tropical, syrupy, and as wild as they come",en
bakers,en
"bakers chocolate, cherry and kiwifruit",en
"When processed as a natural, this coffee is complex with notes of bakers chocolate, cherry and kiwifruit",en
tropical fruits and chocolate and has a creamy mouthfeel,en
citrus and brown sugar,en
"This coffee is juicy and sweet, with notes of citrus and brown sugar",en
red fruit and maple,en
This coffee is sweet and balanced with heaps of sugar-browning and soft fruit notes,en
This coffee is sweet and balanced with heaps of sugar-browning notes,en
"This Anaerobic Natural is sweet and crisp, with yellow citrus notes and a silky body",en
red fruit and citrus,en
"This coffee juicy and loud, with notes of red fruit and citrus",en
The Pacas family initially acquired seeds from one of these centers and were captivated by Sudan Rume's graceful floral aromas and complex fruit notes,en
plum and dark chocolate,en
"When processed as a natural this coffee is loud and fruity, with notes of plum and dark chocolate",en
peach and marzipan,en
"This washed bourbon lot is sweet and approachable, with notes of peach and marzipan",en
the first time we tasted Javier’s coffee all those years ago,en
"This coffee is incredibly sweet and complex, the high glucose content of Pink Bourbon gives it a silky mouthfeel",en
"Processed as a traditional washed coffee, this cup is sweet, bright, and syrupy",en
"plum, peach, and florals",en
"It’s exciting and juicy with notes of plum, peach, and florals",en
"green apple, citrus, and stone fruit",en
"When processed as a washed, this coffee is clean, juicy, and has notes of green apple, citrus, and stone fruit",en
"This coffee is loud and tropical, with a complex fruitiness",en
plum and milk chocolate,en
"When processed as a honey , this coffee is extra sweet with caramel, honey, and green apple notes",en
ripe red fruits,en
passionfruit,en
It is full of bright tropical fruit notes,en
This develops more complex fruit flavors and winey characteristics while maintaining a crisp and clean acidity,en
those first wonderous cups,en
"This coffee is wild and tropical, with a marzipan sweetness",en
"milk chocolate, melon, stone fruit, honey, and a creamy mouthfeel",en
"It's loud, juicy, and packed with citrus acidity",en
"orange, stone fruit, and malt",en
caramel and vanilla and has a creamy mouthfeel,en
"Watermelon candy, juicy, & creamy Producer: Michael Omran Region: Limu Varietal: Heirloom Process: Natural Relationship Since: 2018 Recipes: Espresso: 1:2",en
"This coffee is incredibly complex, and the high glucose content of Pink Bourbon gives it a silky mouthfeel",en
This creates sweeter and more complex coffee with dark fruit and chocolate notes,en
Turkish apricot and sweet almond,en
watermelon and grape,en
"The cherry for this lot was stored in small fruit crates before processing to prevent bruising or tearing of the skin and was then anaerobically fermented for five days, creating a very complex profile",en
"This coffee is sweet and floral, with delicate citrus and stone fruit notes",en
"These factors slow down cherry maturation, resulting in a super sweet cup profile",en
"These factors slow down cherry maturation, resulting in a super sweet cup profile",en
"It is super complex with cherry blossom, wild berry, and tropical fruit notes",en
"These factors slow down cherry maturation, resulting in a super sweet cup profile",en
"These factors slow down cherry maturation, resulting in a super sweet cup profile",en
"blackberry, sweet spices, and tropical fruits",en
"There is plenty to love about this coffee, with notes of blackberry, sweet spices, and tropical fruits",en
Agaro,en
"chocolate, florals, mandarin, and raspberry",en
"This coffee blew us away in a blind tasting with notes of chocolate, florals, mandarin, and raspberry",en
"sweet milk chocolate, vanilla, some delicate florals, and tangy red currant",en
"This coffee has notes of sweet milk chocolate, vanilla, some delicate florals, and tangy red currant",en
"To preserve Bernardina, the Pacas Family began to propagate seedlings on another of their farms, Finca El Retiro, from which this lot is derived. This lot has undergone natural processing by drying whole cherries on raised beds. This creates a coffee with a sweet and syrupy profile.",en
"peach, papaya, and mango",en
"This coffee is sweet and floral, with delicate citrus and stone fruit notes",en
Its flavor profile is interesting and easy to brew - a real crowd pleaser! Ghost Rider: Ghost Rider is designed to cut through milk and create a sweet and fruity latte or espresso,en
"peach, papaya, and mango",en
"Chocolate fudge, caramel, date, with a big syrupy body Humbler is a coffee made by the people, for the people! The Humbler blend has been designed universally to cut through milk to generate a chocola",en
"Chocolate, floral, blackberry, peach, & winey Producer: Javier Fernandez Farm: Los Tanques Varietal: Catuai Process: Double Anaerobic Honey Relationship Since: 2012 Recipes: Espresso: 1:2",en
"Peach, floral, cherry, & lactic Producer: Javier Fernandez Farm: Don Andres Varietal: Bourbon Process: Double Anaerobic Honey Relationship Since: 2012 Recipes: Espresso: 1:2",en
"It makes a sweet, syrupy, and satisfying brew",en
"Exotic tropical fruits, floral, & dark chocolate Farm: Luito Estate Producer: Wilford Lamastus Varietal: Geisha Process: Anaerobic Slow Dry Natural Relationship Since: 2016 About: Luito, is a unique f",en
"pineapple, cherry, and melon all fused together",en
"Exotic, tropical notes of pineapple, cherry, and melon all fused together",en
"yellow peach, jasmine, papaya, and a sweet milk chocolate finish",en
This lot has been fermented anaerobically and then processed as honey resulting in a cup that’s complex and creamy,en
juicy mouthfeel.,en
"vanilla, berries, banana and watermelon",en
"How to Drink: Just like you wouldn't add soda your best whiskey, this amazing coffee is meant to be drank black with no sugar or cream.",en
"peach, papaya, and mango",en
"peach, papaya, and mango",en
Angel Wings - A smooth and sweet blend made up of washed coffees from Central and South America. Drink with milk or black!,en
Angel Wings - A smooth and sweet blend made up of washed coffees from Central and South America. Drink with milk or black!,en
Angel Wings - A smooth and sweet blend made up of washed coffees from Central and South America. Drink with milk or black!,en
"This coffee is incredibly balanced, textural, sweet, approachable, think big warm hug",en
"Blueberry, milk chocolate, passionfruit, raspberry, & juicy Producer: Nancy & Oscar Maca Varietal: Castillo Process: Natural Relationship Since: 2016 Recipes: Espresso: 1:2",en
purple and tropical fruits,en
"Cream, mango, milk chocolate, coconut, jasmine, & silky Producer: Luis Miranda & Aliss Hartmann Varietal: Geisha Process: Natural Relationship Since: 2021 Recipes: Espresso: 1:2",en
"Grilled pineapple, orange, dark chocolate, winey, & lactic Farm: El Jardin Varietal: Yellow Caturra Process: Natural Relationship Since: 2020 Recipes: Espresso: 1:2",en
"Jasmine, matcha, peach, milk chocolate, & creamy Producer: Jairo Arcila Varietal: Geisha Process: Natural Relationship Since: 2020 Recipes: Espresso: 1:2",en
"Apple blossom, golden syrup, passion fruit, strawberry, & juicy Producer: Felipe Ospina Varietal: Wush Wush Process: Champagne Natural Relationship Since: 2017 Recipes: Espresso: 1:2",en
"Juicy yellow peach, coconut, jasmine, blood orange, & velvety Producer: Felepe Henao Triana Varietal: Chiroso Process: Waahed Relationship Since: 2020 Recipes: Espresso: 1:2",en
"Apricot, peach, vanilla, white florals, & syrupy Producer: Juana Gallardo Varietal: Colombia Process: Honey Relationship Since: 2019 Recipes: Esp resso: 1:2",en
"Milk chocolate, cherry, rum, & violet Farm: El Líbano Varietal: San Bernardo Process: Anaerobic Natural Relationship Since: 2021 Recipes: Espresso: 1:2",en
"Cognac, vanilla, pecan, berries, & silky Producer: Felipe Ospina Varietal: Wush Wush Process: Dynamic Washed Relationship Since: 2017 Recipes: Espresso: 1:2",en
"﻿Floral, jasmine, cherry, vanilla, fudge, & apricot Producer: Javier & Nahun Fernandez Varietal: Geisha Process: Washed Relationship Since: 2012 Recipes: Espresso: 1:2",en
"Tangerine, jasmine, & lemon Farm: Finca Hartmann Producer: Hartmann Family Varietal: Heirloom Process: Honey Relationship Since: 2011 About: A real treasure has landed in the Panamanian jungle",en
"Brown sugar, jasmine, melon, berries, & syrupy About: ﻿This is a really good Ethiopian Coffee",en
"Strawberry, guava, passionfruit, vanilla, & creamy Producer: Sandra & Fernando Giron About: The horses knew the way home and needed little direction from us",en
"Juicy red apple, stewed peaches, & honey Producer: Ana Cecilia Velloso Varietal: Arara Process: Natural Relationship Since: 2018 Recipes: Espresso: 1:2",en
"Raspberry, blackberry, mango, milk chocolate, & syrupy",en
"Raspberry, blackberry, mango, milk chocolate, & syrupy Producer: Nancy & Oscar Maca Varietal: Wush Wush Process: Anaerobic Natural Relationship Since: 2017 Recipes: Espresso: 1:2",en
"Milk chocolate, strawberry, white grape, & creamy Producer: Muraho Trading Co",en
"Tasting Notes: Milk chocolate, strawberry, white grape, & creamy Producer: Muraho Trading Co",en
"Cherry, Apricot and blackberry Producer: Wilford Lamastus Region: Boquete Varietal: Catuai Process: Natural Recipes: Espresso: 1:2",en
"Milk chocolate, caramel, plum, & jammy Farm: Don Andres Varietal: Bourbon Process: Natural Relationship Since: 2012 Recipes: Espresso: 1:2",en
"milk chocolate, caramel, and plum",en
"Sweet and jammy with notes of milk chocolate, caramel, and plum",en
"Kiwi-fruit, guava, lychee & cherry bomb Farm: Finca Los Primos Varietal: Pacas Process: Natural Relationship Since: 2014 Recipes: Espresso: 1:2",en
"Brown sugar, sweet almond, lime, floral, & syrupy Producer: Boyce Harries Farm: Chania Estate Varietal: Mixed Process: Honey Relationship Since: 2019 Recipes: Espresso: 1:2",en
"Dark chocolate, cherry, vanilla, & syrupy Farm: Don Andres Varietal: Pacas & Catuai Process: Natural Recipes: Espresso: 1:2",en
"Purple grape, strawberry, & spice Washing Station: Kokosa, Moplaco Region: Sidamo Varietal: Heirloom Process: Kenya Process Relationship Since: 2020 Recipes: Espresso: 1:2",en
"Purple grape, champagne, & crisp Washing Station: Moplaco Bensa Region: Sidamo Varietal: Heirloom Process: Washed Relationship Since: 2020 Recipes: Espresso: 1:2",en
"Cacao nibs, wild berries, lavender, & syrupy Region: Don Andres Varietal: Parainema Process: Anaerobic Natural 60hrs Recipes: Espresso: 1:2",en
"Goosebumps, exploding heart, triple back flip, levitation, & dizzy Producer: Primrose Varietal: Heirloom Process: Supernatural Relationship Since: 2019 Recipes: Espresso: 1:2",en
"Strawberry jam, maple syrup & Turkish delight Continents: Africa & Central America Varietals: Mixed Process: Natural & Washed Recipes: ﻿Filter/Drip: 1:17   |   Espresso: 1:2",en
"5 Sweet, syrupy and lush",en
"Yellow peach, nectarine, floral, & juicy Region: Don Andres Varietal: Pacas Process: Washed Relationship Since: 2012 Recipes: Espresso: 1:2",en
yellow stone fruits like peach and nectarine,en
"Cherry, apricot, blackberry & syrupy Varietal: Catuai Process: Anaerobic Natural Relationship Since: 2016 Recipes: Espresso: 1:2",en
"Chocolate, plum, maple syrup, & red grape Region: El Brujo Varietal: Pacas Process: Natural Relationship Since: 2017 Recipes: Espresso: 1:2",en
"Milk chocolate, caramel, vanilla, & cherry Producer: José Wagner Varietal: Yellow Catuai Process: Natural Relationship Since: 2011 Recipes: Espresso: 1:2",en
"Milk chocolate, vanilla, peach, clean, & silky Producer: Mariana Junqueira Varietal: Yellow Bourbon Process: Natural Relationship Since: 2020 Recipes: Espresso: 1:2",en
"Chocolate, grape, black cherry, & plum Region: Las Flores Varietal: Pacas & Catuai Process: Anaerobic Natural 60hrs Recipes: Espresso: 1:2",en
"Apricot, blackberry, green apple, & sparkling Region: Santa Barbara Varietal: Catuai Process: Washed Recipes: Espresso: 1:2",en
"Brown sugar, orange, apricot, & juicy Producer: Hartmann Family Region: Santa Clara Varietal: Maragogipe Process: Honey Recipes: Espresso: 1:2",en
"Pineapple, blackberry, orange, chocolate, floral, & syrupy Producer: Hartmann Family Region: Santa Clara Varietal: Yellow Maragogipe Process: Natural Recipes: Espresso: 1:2",en
"Brown sugar, blackberry, citrus, & juicy Producer: Hartmann Family Region: Santa Clara Varietal: Yellow Maragogipe Process: Washed Recipes: Espresso: 1:2",en
"Chocolate, passion fruit, guava, & syrupy Region: Santa Clara Varietal: Caturra & Catuai Process: Natural Relationship Since: 2011 Recipes: Espresso: 1:2",en
"Red plum, apricot, brown sugar & silky body Region: Cerrado Mineiro Process: Pulp Natural About the farm: São Luiz Estate is a coffee farm that's both steeped in history, and embraces modernity; with",en
"Sweet, blanaced, dark chocolate, & malt finish Region: Nyabihu Varietal: Bourbon Process: Washed Recipes: Espresso: 1:2",en
"Juicy, tropical fruit, whiskey About: The Ixhuatlán region is home to some of the most desirable coffees in Mexico, due to the microclimate and its people, who have a deep commitment to the production",en
a fine whiskey,en
"﻿ Papaya, tropical, raw honey, rich heavy & creamy body Region: Santa Clara Varietals: Maragogype ﻿Processing: Natural",en
"Cherry, brown sugar, syrupy, & melon Producer: Aliss & Ratibor Hartmann Region: Santa Clara Varietal: Catuai & Caturra Process: Natural Relationship Since: 2011 Recipes: Espresso: 1:2",en
"Cherry, apricot, blackberry & juicy Farm: ﻿Elida Estate Region: Boquete, Los Naranjos Varietal: Cataui (red and yellow) Process: Natural Recipes: Espresso: 1:2",en
"Mango, pineapple, mandarin, syrupy & jasmine About: The Zuto is an absolute baller coffee, it is complex, exotic and tropical! Like a mysterious blanket, the mist hangs over the Geisha growing on Ojo",en
"﻿Jasmine, coffee flower, nectarine & apple About: The intensified aroma of jasmine, bergamont, and apricot was mind blowing! For a washed coffee, we knew this one was special",en
"﻿Papaya, cherry, mango & tropical fruit About: Luito",en
"pineapple, cherry and melon all fused together",en
"Tropical notes of pineapple, cherry and melon all fused together",en
"Chocolate fudge, orange, peach, & honey Region: Santa Clara Varietals: Caturra & Catuai ﻿Processing: Natural ﻿Coffee is left to dry in its whole fruit form which creates greater sweetness and a syrupy",en
"Sweet, blanaced, dark chocolate & malt finish Region: Nyabihu Varietal: Bourbon Process: Washed About: Vunga is a well-known washing station in Rwanda, and has a reputation for producing extremely hig",en
Producer:,en
"Brown sugar, vanilla, apricot, & syrupy Producer: Nahun Fernandez Region: Las Flores Varietal: Pacas Process: Anaerobic Washed Relationship: Since 2012 Recipe: Espresso - 1:2",en
"Strawberry jam, candied watermelon, syrupy and creamy This coffee has a roast profile that is great for drip coffee, french press, V60 and is well suited to milk or cream or black",en
﻿,en
"﻿ ﻿Lime, green apple, milk chocolate and vibrant The Story Behind the Bean: Parainema",en
Producer:,en
"Apricot, vanilla, apple, florals, & syrupy Producer: Manuel Vallecillo Farm: Los Primos Varietal: Pacas Process: Anaerobic Honey Relationship: Since 2014 Recipe: Espresso - 1:2",en
Producer:,en
"Chocolate, vanilla, red apple, & syrupy Producer: Manuel Vallecillo Region: El Cielito Varietal: Pacas Process: Natural Relationship: Since 2014 Recipe: Espresso - 1:2",en
"Iris, vanilla, cocoa, & syrupy Region: Las Flores Varietal: Pacas & Catuai Process: Natural Recipes: Espresso: 1:2",en
"Dark chocolate, cherry, vanilla, & syrupy Region: Las Flores Varietal: Pacas & Catuai Process: Natural Recipes: Espresso: 1:2",en
"Nahun’s natural Pacas & Catuai is sweet, juicy, and clean",en
"Florals, peach, & blackbery Region: Cuchumatan, Huehuetenango Producer: Todos Santos Co-op Certification: Organic Varietal: Pacamara Process: Washed Recipes: Espresso: 1:2",en
"Jasmine, apple, grapefruit, & vanilla Region: San Cristobal Verapaz Farm: Finca Santa Isabel Relationship: Since 2016 Varietal: Sarchimor Process: Washed Recipes: Espresso: 1:2",en
"The result of all this is a clean and crisp coffee, with distinct floral notes, particularly of jasmine",en
"Apple, brown sugar, & vanilla Region: Antigua ﻿Farm: ﻿La Esperanza ﻿Relationship: ﻿Since 2016 Varietal: Villa Sarchi Process: Washed Recipes: Espresso: 1:2",en
"White grapes, honey, rose, red fruit, lychee, plum Process: Honey Producer: Nahun Fernandez District: Las Flores, Santa Barbara Varietal: Parainema We are leading in to our seventh year in the mighty",en
"Orange zest, chocolate, almonds, strawberries & cream Process: Washed Varietals: Bourbon, Caturra & Catuai Region: San Jose Poaquil Recipe: Espresso: 1:2",en
"Red apple, honey, orange, juicy, creamy & molasses Awards: 3rd Place - Honduras COE 2018 About: Fani Yeselia Moreno Lopez is an inspiration to us all! She is a third generation coffee farmer and mothe",en
Producer:,en
"Nectarine, kiwifruit, creamy, & silky Producer: Manuel Vallecillo Region: El Cielito Varietal: Pacas Process: Washed Relationship: Since 2014 Recipe: Espresso - 1:2",en
"Resistant to Roya (plant fungus) Tasting Notes Cacao, milk chocolate, raspberry (black forest cake) ﻿Process Washed",en
"﻿Peach, pineapple, tangy apricot, green apple and tea-like The Story Behind the Bean: Absolute gold! We first heard of this coffee when Nolan travelled to Guatemala in 2016",en
"﻿Zesty lemon, raspberry, tangy apricot and green apple The Story Behind th e Bean: Finca Santa Isabel is currently directed by Luis (Wicho) Valdes",en
﻿,en
"﻿ ﻿Floral, blackberry, sparkling, milk chocolate and clean The Story Behind the Bean: This is a coffee you should know relatively well if you have been drinking Nahun Fernandez the past few years! Thi",en
"It is floral, vibrant, and packed with loads of blackberry",en
"This is a perfect example of a juicy, clean, and tasty coffee from the Santa Barbara region",en
"It's a big ol' fruit bomb! Strawberry, cherry, blackcurrant, with a juicy, syrupy body Composed of a washed Colombia, and a naturally processed Geisha from Panama, Exploding Heart is a coffee everyone",en
"5 Filter - 1:17 Region Bensa District, Sidama Varietal Mikicho + Setami + mixed indigenour heirloom varietals Farmer Assesfa Dukama Tasting Notes Plummy red fruits, all spice and syrupy raspberry fruit leather ﻿Process Sun Dried Natural, dried on raised beds",en
"Cola, grapefruit, & candied orange Region: Guji Varietal: Heirloom Process: Washed Recipes: Espresso: 1:2",en
"Cherry, currant, cola, & honey Region: Agaro Varietal: Ethiopia Landraces Process: Washed Recipes: Espresso: 1:2",en
"Candied ginger, raspberry, & strawberry Region: Jimma Varietal: Ethiopia Landraces Process: Washed Recipes: Espresso: 1:2",en
"Strawberry, ripe cherries, silky & creamy body Region: Yirgacheffee, Gedeo Varietal: Ethiopian Heirloom Process: Natural Altitude: 1750-1950 masl Recipes: Espresso: 1:2",en
"Fruit, plums, cherries, chocolate and strawberries, silky body & apricot acidity Recipes : Espresso: 1:2",en
"Tasting Notes: Fruit, plums, cherries, chocolate and strawberries, silky body & apricot acidity Recipes : Espresso: 1:2",en
"Floral, bright & juicy, sparkling apricot acidity Recipes :  Espresso: 1:2",en
"Tasting Notes: Floral, bright & juicy, sparkling apricot acidity Recipes :  Espresso: 1:2",en
"Exotic AF, jammy AF, plums, & winey Farm: Elida Estate Producer: Wilford Lamastus Varietal: Green Tip Geisha Process: Anaerobic Slow Dry Natural Relationship Since: 2016 About: Elida Estate from Lamas",en
"Jasmine, dancing acidity, vanilla, & apricot Farm: Finca Hartmann Producer: Hartmann Family Varietal: Geisha Process: Wa shed Relationship Since: 2011 Ab out: Robert K",en
"Mango, passionfruit, apple blossom Farm: El Burro Producer: Lamastus Family Varietal: Geisha Process: Natural Anaerobic Slow-Dry Relationship: Since 2014 About: Lamastus Family Estates are the Best of",en
"Jasmine, blackberry, winey, & cinnamon Farm: Elida Estate Producer: Lamastus Family Varietal: Geisha Process: Washed Relationship: Since 2014 About: Lamastus Family Estates are the Best of Panama winn",en
jasmine and perfume,en
"Jasmine, mango, chocolate, & green apple Farm: Finca Hartmann Producer: Hartmann Family Varietal: Geisha Process: Natural Relationship: Since 2011 About: This particular parcel of land is called ‘Camp",en
jasmine and floral emanate from the cup,en
"Milk chocolate, peach, & honey Region : Nueva Segovia Process: Natural Producer : Olman Valladarez Varietal : Yellow Catuai Recipe: Espresso - 1:2",en
"Chocolate, rose, melon, peach, lime & jasmine Farm: Hartmann Family Producer: Roberto Brenes Varietal: Geisha Process: Natural Relationship: Since 2011 About: We stood amongst the Lot #1 Geisha plot s",en
"The profile is truly unique; floral, refined, tropical fruits, and lingering aftertaste",en
"Sugary, blackberry, tangy Region: Nueva Segovia Producers: Olman Valladarez Process: Washed Varietal: Caturra Process: Washed Recipe: Espresso - 1:2",en
peach and nectarine,en
"Juicy, tropical fruit, whiskey Region: Ixhuatlán Producers: Petra de Dios Process: Natural Recipe: Espresso - 1:2",en
a fine whiskey,en
"Caramel, chocolate fudge, orange, cantaloupe & creamy body Process: Washed Varietals: Bourbon, Typica, Mundo Novo Region: Oaxaca Recipe: Espresso: 1:2",en
"Melon, tropical, milk chocolate, floral and complex Processing: Natural Anaerobic 48hrs Coffee is left to dry in its whole fruit for 48 hours in a steel tank without oxygen",en
"Orange blossom, honey, pear and juicy",en
"Orange blossom, honey, pear and juicy Region: Dipilto, Nueva Segovia Varietal: Maracaturra A hybrid varietal crossed between Caturra (known for its productivity and balanced flavour) and Maragogipe (a",en
orange blossom and honey jump out of the cup!,en
"Peach, vibrant, apple, cinnamon, & clean",en
"Peach, vibrant, apple, cinnamon, & clean Region: Dipilto, Nueva Segovia Varietal: Maracaturra A hybrid varietal crossed between Caturra (known for its productivity and balanced flavour) and Maragogipe",en
"This creates a vibrant, sweet, and clean cup",en
"Intensely sweet, floral, bomb, tangerine, lemongrass, & cane sugar Farm: Auromar Producer: Roberto Brenes Varietal: Geisha Process: Washed Relationship Since: 2011 About: Auromar ‘Ironman’ Geisha",en
"melon, cherry, and buttercream sweetness",en
"And for fans only, we have a sweet, sweet tee shirt to boot",en
"melon, cherry, and buttercream sweetness",en
"And for fans only, we have a sweet, sweet tee shirt to boot",en
"Nectarine, blackcurrant, passionfruit, cinnamon, vibrant, & tropical fruit Farm: Finca El Carmen Producer: Ivan Morales Varietal: Pacamara Process: Natural Relationship Since: 2020 Ab out: El Carmen f",en
"Jasmine, elegant, raspberry, yuzu, black tea, kiwi, mango, & apricot Farm: Finca San Sebastian Producer: Estuardo Falla Varietal: Geisha Process: Natural Relationship Since: 2020 Ab out: San Sebastian",en
"Jasmine, orange, cinnamon, & honey Farm: Los Bellotos Producer: Pacas Family Varietal: Bernardina Process: Washed Relationship: Since 2012 About: Remember last year when we told you about those five m",en
"melon, cherry, and buttercream sweetness",en
"And for fans only, we have a sweet, sweet tee shirt to boot",en
"Confectionary, milk chocolate, & syrupy Farm: Los Bellotos Producer: Pacas Family Varietal: Bernardina Process: Natural Relationship: Since 2012 About: Remember last year when we told you about those",en
"melon, cherry, and buttercream sweetness",en
"And for fans only, we have a sweet, sweet tee shirt to boot",en
"Floral, peach, strawberry, guava, orange & silky mouthfeel Farm: Fazenda Primavera Producer: Leonardo Montesanto Tavares Varietal: Geisha Process: Anaerobic Nat ural Relationship: Since 2019 Score: 92",en
"This extremely limited lot is gonna go fast, so do yourself a favor and snag a tin now. Frankly, you might want to act fast before we drink it all ourselves. It's just that good!⠀",en
"Cherry, blackberry, red berries, mango, natural wine, & syrupy Farm: Finca El Zafiro Producer: Nancy & Oscar Maca Varietal: Wush Wush Process: Anaerobic Natural About: If there was a coffee on planet",en
"cherry, blackberry, red berries, mango, & natural wine⠀ This extremely limited lot is gonna go fast, so do yourself a favor and snag a tin now",en
"Strawberry liquor, floral, cherry, passionfruit & silky Farm: La Miel Producer: Miguel Botina Varietal: Geisha Process: Natural About: Aerial roots and vines, fit for Tarzan, hung all around us as Mig",en
"ilk chocolate, red berries, tropical, floral, & syrupy",en
"M ilk chocolate, red berries, tropical, floral, & syrupy Farm: Sítio d’Água Limpa Producer: Marianna Junqueira Varietal: Red Catuai Process: Nat ural Relationship: Since 2020 Score: 89",en
"Strawberry, blackcurrant, & passionfruit Region: Kiambu Varietal: SL28 & SL34 Process: Natural Recipes: Espresso: 1:2",en
"Sweet and creamy, nectarine, & raspberry Region: Kiambu Varietal: Ruiru 11 & SL28 Process: Honey Recipes: Espresso: 1:2",en
"Blackcurrant, raisin, & dark chocolate Region: Kiambu Varietal: SL28 & SL34 Process: Washed Recipes: Espresso: 1:2",en
"Chocolate, mango, passionfruit, & silky ﻿ Farm: Finca El Retiro Producer: Pacas Family Varietal: Bernardina Process: Natural Relationship: Since 2012 About: Bernardina is one of the most exciting disc",en
"Apricot, earl grey tea, floral, & citrus ﻿ Farm: Finca La Guachoca Producer: Pacas Family Varietal: Bernardina Process: Washed Relationship: Since 2012 About: Bernardina is one of the most exciting di",en
"jasmine, passionfruit, and earl grey tea",en
"Orange, apricot, mango, & vanilla Farm: Finca La Esperanza Producer: Pacas Family Varietal: Bernardina Process: Double Anaerobic Washed Sunrise Relationship: Since 2012 About: We have worked with the",en
the sunrise over Finca La Esperanza,en
"Orange, rose wine, papaya, & apricot ﻿ Farm: Finca El Retiro Producer: Pacas Family Varietal: Bernardina Process: Anaerobic Honey Sunset Relationship: Since 2012 About: Bernardina is one of the most e",en
the sunsets of Finca El Retiro,en
